dimension,seed,algorithm,wall_time,norm_found,gh_target,ratio_gh,delta_0,is_success
20,1000,LLL,4.823,1000.0,1564.8487,0.639039,0.981726,True
20,1000,BlackBox,2.7629,1000.0,1564.8487,0.639039,0.981726,True
20,1017,LLL,1.4407,1000.0,1564.8487,0.639039,0.981726,True
20,1017,BlackBox,1.0393,1000.0,1564.8487,0.639039,0.981726,True
20,1034,LLL,2.0421,1000.0,1564.8487,0.639039,0.981726,True
20,1034,BlackBox,1.755,1000.0,1564.8487,0.639039,0.981726,True
30,1000,LLL,10.9774,1000.0,2211.0257,0.452279,0.983085,True
30,1000,BlackBox,14.8331,1000.0,2211.0257,0.452279,0.983085,True
30,1017,LLL,19.6915,1000.0,2211.0257,0.452279,0.983085,True
30,1017,BlackBox,16.302,1000.0,2211.0257,0.452279,0.983085,True
30,1034,LLL,9.7647,1000.0,2211.0257,0.452279,0.983085,True
30,1034,BlackBox,8.7491,1000.0,2211.0257,0.452279,0.983085,True
40,1000,LLL,45.5258,1000.0,2885.2673,0.346588,0.984272,True
40,1000,BlackBox,44.9787,1000.0,2885.2673,0.346588,0.984272,True
40,1017,LLL,40.4249,1000.0,2885.2673,0.346588,0.984272,True
40,1017,BlackBox,41.4872,1000.0,2885.2673,0.346588,0.984272,True
40,1034,LLL,45.5267,1000.0,2885.2673,0.346588,0.984272,True
40,1034,BlackBox,46.7881,1000.0,2885.2673,0.346588,0.984272,True
