dimension,seed,algorithm,wall_time,norm_found,gh_target,ratio_gh,delta_0,is_success
15,1000,LLL,1.1108,1000.0,1248.6761,0.800848,0.981049,True
15,1000,BlackBox,6.1421,1000.0,1248.6761,0.800848,0.981049,True
15,1017,LLL,0.9355,1000.0,1248.6761,0.800848,0.981049,True
15,1017,BlackBox,0.0,inf,1248.6761,inf,inf,False
15,1034,LLL,1.5778,1000.0,1248.6761,0.800848,0.981049,True
15,1034,BlackBox,8.0184,1000.0,1248.6761,0.800848,0.981049,True
20,1000,LLL,4.4787,1000.0,1564.8487,0.639039,0.981726,True
20,1000,BlackBox,0.0,inf,1564.8487,inf,inf,False
20,1017,LLL,4.7188,1000.0,1564.8487,0.639039,0.981726,True
20,1017,BlackBox,26.701,1000.0,1564.8487,0.639039,0.981726,True
20,1034,LLL,5.8257,1000.0,1564.8487,0.639039,0.981726,True
20,1034,BlackBox,40.5003,1000.0,1564.8487,0.639039,0.981726,True
25,1000,LLL,20.5567,1000.0,1884.877,0.530539,0.982422,True
25,1000,BlackBox,222.5227,31857.7699,1884.877,16.901776,1.128305,False
