dimension,seed,algorithm,wall_time,norm_found,gh_target,ratio_gh,delta_0,is_success
15,1000,LLL,0.9573,1000.0,1248.6761,0.800848,0.981049,True
15,1000,BlackBox,0.6472,10433.4798,1248.6761,8.355634,1.147059,False
15,1017,LLL,0.8675,1000.0,1248.6761,0.800848,0.981049,True
15,1017,BlackBox,0.8938,21077.9506,1248.6761,16.880239,1.202114,False
15,1034,LLL,1.4072,1000.0,1248.6761,0.800848,0.981049,True
15,1034,BlackBox,0.4935,16259.92,1248.6761,13.021728,1.181495,False
20,1000,LLL,4.357,1000.0,1564.8487,0.639039,0.981726,True
20,1000,BlackBox,1.5413,19349.9354,1564.8487,12.365372,1.138477,False
20,1017,LLL,2.2559,1000.0,1564.8487,0.639039,0.981726,True
20,1017,BlackBox,1.8245,1850.0,1564.8487,1.182223,1.012392,False
20,1034,LLL,3.4795,1000.0,1564.8487,0.639039,0.981726,True
20,1034,BlackBox,1.5497,5018.2168,1564.8487,3.206838,1.064186,False
25,1000,LLL,8.5996,1000.0,1884.877,0.530539,0.982422,True
25,1000,BlackBox,3.267,19773.7199,1884.877,10.490721,1.106984,False
25,1017,LLL,11.2815,1000.0,1884.877,0.530539,0.982422,True
25,1017,BlackBox,4.1152,69453.5636,1884.877,36.847796,1.164034,False
25,1034,LLL,9.1854,1000.0,1884.877,0.530539,0.982422,True
25,1034,BlackBox,2.3356,5586.8148,1884.877,2.964021,1.052409,False
30,1000,LLL,22.2802,1000.0,2211.0257,0.452279,0.983085,True
30,1000,BlackBox,6.7076,37372.7508,2211.0257,16.902902,1.109199,False
30,1017,LLL,24.9515,1000.0,2211.0257,0.452279,0.983085,True
30,1017,BlackBox,4.9814,54242.7184,2211.0257,24.53283,1.123058,False
30,1034,LLL,11.3278,1000.0,2211.0257,0.452279,0.983085,True
30,1034,BlackBox,7.5625,1850.0,2211.0257,0.836716,1.003452,True
