dimension,seed,algorithm,wall_time,norm_found,gh_target,ratio_gh,delta_0,is_success
15,1000,LLL,1.9689,1000.0,1248.6761,0.800848,0.981049,True
15,1000,BlackBox,2.1699,1000.0,1248.6761,0.800848,0.981049,True
15,1017,LLL,1.2969,1000.0,1248.6761,0.800848,0.981049,True
15,1017,BlackBox,2.13,1000.0,1248.6761,0.800848,0.981049,True
15,1034,LLL,2.0369,1000.0,1248.6761,0.800848,0.981049,True
15,1034,BlackBox,2.5284,1000.0,1248.6761,0.800848,0.981049,True
20,1000,LLL,7.0949,1000.0,1564.8487,0.639039,0.981726,True
20,1000,BlackBox,6.6262,1000.0,1564.8487,0.639039,0.981726,True
20,1017,LLL,2.9972,1000.0,1564.8487,0.639039,0.981726,True
20,1017,BlackBox,3.9299,1000.0,1564.8487,0.639039,0.981726,True
20,1034,LLL,5.585,1000.0,1564.8487,0.639039,0.981726,True
20,1034,BlackBox,9.6494,1000.0,1564.8487,0.639039,0.981726,True
25,1000,LLL,23.3762,1000.0,1884.877,0.530539,0.982422,True
25,1000,BlackBox,15.3861,1000.0,1884.877,0.530539,0.982422,True
25,1017,LLL,14.2851,1000.0,1884.877,0.530539,0.982422,True
25,1017,BlackBox,15.3237,1000.0,1884.877,0.530539,0.982422,True
25,1034,LLL,13.87,1000.0,1884.877,0.530539,0.982422,True
25,1034,BlackBox,18.4783,1000.0,1884.877,0.530539,0.982422,True
