dimension,seed,algorithm,wall_time,norm_found,gh_target,ratio_gh,delta_0,is_success
15,1000,LLL,1.1566,1000.0,1248.6761,0.800848,0.981049,True
15,1000,BlackBox,1.852,1000.0,1248.6761,0.800848,0.981049,True
15,1017,LLL,1.2706,1000.0,1248.6761,0.800848,0.981049,True
15,1017,BlackBox,1.2648,1000.0,1248.6761,0.800848,0.981049,True
15,1034,LLL,1.2619,1000.0,1248.6761,0.800848,0.981049,True
15,1034,BlackBox,1.9941,1000.0,1248.6761,0.800848,0.981049,True
20,1000,LLL,3.8933,1000.0,1564.8487,0.639039,0.981726,True
20,1000,BlackBox,4.0681,1350.0,1564.8487,0.862703,0.996568,True
20,1017,LLL,2.0287,1000.0,1564.8487,0.639039,0.981726,True
20,1017,BlackBox,1.8602,1000.0,1564.8487,0.639039,0.981726,True
20,1034,LLL,2.9878,1000.0,1564.8487,0.639039,0.981726,True
20,1034,BlackBox,3.3148,1000.0,1564.8487,0.639039,0.981726,True
25,1000,LLL,9.4572,1000.0,1884.877,0.530539,0.982422,True
25,1000,BlackBox,9.0076,1900.0,1884.877,1.008023,1.007971,True
25,1017,LLL,9.3425,1000.0,1884.877,0.530539,0.982422,True
25,1017,BlackBox,5.7345,4247.0578,1884.877,2.253228,1.04093,False
25,1034,LLL,6.4713,1000.0,1884.877,0.530539,0.982422,True
25,1034,BlackBox,6.3556,1000.0,1884.877,0.530539,0.982422,True
