type,block_id,seed,intensity,r_mean,r_std,r_entropy,ks_gue,ks_poi,ks_margin,vote,reducer_ks,reducer_mode
zeta,zeta_42_0000,42000,raw,0.614991,0.197705,3.532665,0.090138,0.432663,0.342525,GUE,0.0,none
zeta,zeta_42_0000,42000,soft,0.613247,0.154479,3.202841,0.153957,0.486495,0.332538,GUE,0.110553,minimal
zeta,zeta_42_0000,42000,mid,0.613247,0.154479,3.202841,0.153957,0.486495,0.332538,GUE,0.110553,minimal
zeta,zeta_42_0000,42000,strong,0.614321,0.122527,3.119876,0.205716,0.532475,0.326759,GUE,0.175879,minimal
zeta,zeta_42_0001,42001,raw,0.619366,0.216656,3.591076,0.078015,0.401696,0.323681,GUE,0.0,none
zeta,zeta_42_0001,42001,soft,0.601619,0.168519,3.336767,0.122927,0.453266,0.330339,GUE,0.115578,minimal
zeta,zeta_42_0001,42001,mid,0.601619,0.168519,3.336767,0.122927,0.453266,0.330339,GUE,0.115578,minimal
zeta,zeta_42_0001,42001,strong,0.610347,0.130829,3.178424,0.189573,0.518781,0.329209,GUE,0.175879,minimal
zeta,zeta_42_0002,42002,raw,0.615726,0.200455,3.555644,0.094221,0.418405,0.324183,GUE,0.0,none
zeta,zeta_42_0002,42002,soft,0.605583,0.157798,3.203137,0.165704,0.472425,0.306721,GUE,0.105528,minimal
zeta,zeta_42_0002,42002,mid,0.605583,0.157798,3.203137,0.165704,0.472425,0.306721,GUE,0.105528,minimal
zeta,zeta_42_0002,42002,strong,0.609644,0.129096,3.12643,0.220477,0.509548,0.28907,GUE,0.175879,minimal
zeta,zeta_42_0003,42003,raw,0.62435,0.224722,3.634143,0.061872,0.392211,0.330339,GUE,0.0,none
zeta,zeta_42_0003,42003,soft,0.615368,0.193532,3.447764,0.106219,0.444849,0.338631,GUE,0.080402,minimal
zeta,zeta_42_0003,42003,mid,0.615368,0.193532,3.447764,0.106219,0.444849,0.338631,GUE,0.080402,minimal
zeta,zeta_42_0003,42003,strong,0.618644,0.158338,3.35817,0.178141,0.493781,0.315641,GUE,0.145729,minimal
zeta,zeta_42_0004,42004,raw,0.614169,0.22782,3.635795,0.067337,0.398744,0.331407,GUE,0.0,none
zeta,zeta_42_0004,42004,soft,0.602384,0.191827,3.437431,0.127638,0.449058,0.32142,GUE,0.085427,minimal
zeta,zeta_42_0004,42004,mid,0.602384,0.191827,3.437431,0.127638,0.449058,0.32142,GUE,0.085427,minimal
zeta,zeta_42_0004,42004,strong,0.610506,0.155547,3.360254,0.16206,0.496043,0.333982,GUE,0.135678,minimal
zeta,zeta_42_0005,42005,raw,0.617774,0.215301,3.554561,0.06495,0.405465,0.340515,GUE,0.0,none
zeta,zeta_42_0005,42005,soft,0.609598,0.174455,3.33022,0.120226,0.460741,0.340515,GUE,0.095477,minimal
zeta,zeta_42_0005,42005,mid,0.609598,0.174455,3.33022,0.120226,0.460741,0.340515,GUE,0.095477,minimal
zeta,zeta_42_0005,42005,strong,0.609042,0.140207,3.16861,0.195289,0.527827,0.332538,GUE,0.180905,minimal
zeta,zeta_42_0006,42006,raw,0.625561,0.225514,3.607394,0.072111,0.37946,0.307349,GUE,0.0,none
zeta,zeta_42_0006,42006,soft,0.61183,0.182572,3.390357,0.111432,0.43392,0.322487,GUE,0.130653,minimal
zeta,zeta_42_0006,42006,mid,0.61183,0.182572,3.390357,0.111432,0.43392,0.322487,GUE,0.130653,minimal
zeta,zeta_42_0006,42006,strong,0.620315,0.147445,3.269939,0.178329,0.508982,0.330653,GUE,0.180905,minimal
zeta,zeta_42_0007,42007,raw,0.618273,0.224785,3.644437,0.051633,0.390013,0.338379,GUE,0.0,none
zeta,zeta_42_0007,42007,soft,0.616078,0.191084,3.447121,0.103894,0.43059,0.326696,GUE,0.090452,minimal
zeta,zeta_42_0007,42007,mid,0.616078,0.191084,3.447121,0.103894,0.43059,0.326696,GUE,0.090452,minimal
zeta,zeta_42_0007,42007,strong,0.619626,0.156,3.327251,0.16294,0.490201,0.327261,GUE,0.145729,minimal
zeta,zeta_42_0008,42008,raw,0.60637,0.217173,3.578179,0.066646,0.410302,0.343656,GUE,0.0,none
zeta,zeta_42_0008,42008,soft,0.600219,0.183573,3.341891,0.116897,0.460553,0.343656,GUE,0.075377,minimal
zeta,zeta_42_0008,42008,mid,0.600219,0.183573,3.341891,0.116897,0.460553,0.343656,GUE,0.075377,minimal
zeta,zeta_42_0008,42008,strong,0.603246,0.142553,3.214414,0.168781,0.507601,0.338819,GUE,0.170854,minimal
zeta,zeta_42_0009,42009,raw,0.618672,0.215381,3.653254,0.069095,0.398241,0.329146,GUE,0.0,none
zeta,zeta_42_0009,42009,soft,0.6143,0.174437,3.441558,0.115955,0.444347,0.328392,GUE,0.105528,minimal
zeta,zeta_42_0009,42009,mid,0.6143,0.174437,3.441558,0.115955,0.444347,0.328392,GUE,0.105528,minimal
zeta,zeta_42_0009,42009,strong,0.618982,0.144511,3.218937,0.174435,0.508857,0.334422,GUE,0.160804,minimal
zeta,zeta_42_0010,42010,raw,0.610123,0.207462,3.564868,0.068279,0.409234,0.340955,GUE,0.0,none
