block_id,type,intensity,r_mean,ks_gue,ks_poi,ks_margin,vote
zeta_42_0213,zeta,soft,0.608537,0.111935,0.457098,0.345163,GUE
zeta_42_0213,zeta,mid,0.608537,0.111935,0.457098,0.345163,GUE
zeta_42_0456,zeta,raw,0.635171,0.076068,0.421106,0.345038,GUE
poisson_90000_0025,poisson,raw,0.381265,0.403141,0.058103,-0.345038,POISSON
zeta_42_0292,zeta,soft,0.594105,0.097613,0.442588,0.344975,GUE
zeta_42_0292,zeta,mid,0.594105,0.097613,0.442588,0.344975,GUE
zeta_42_0318,zeta,strong,0.61875,0.139259,0.484234,0.344975,GUE
zeta_42_0070,zeta,raw,0.625803,0.088254,0.433103,0.344849,GUE
poisson_90000_0029,poisson,raw,0.343307,0.447802,0.103015,-0.344786,POISSON
poisson_90000_0029,poisson,soft,0.294546,0.538254,0.193467,-0.344786,POISSON
poisson_90000_0029,poisson,mid,0.294546,0.538254,0.193467,-0.344786,POISSON
zeta_42_0111,zeta,strong,0.603823,0.120038,0.464761,0.344724,GUE
zeta_42_0455,zeta,soft,0.598918,0.084736,0.42946,0.344724,GUE
zeta_42_0455,zeta,mid,0.598918,0.084736,0.42946,0.344724,GUE
zeta_42_0361,zeta,soft,0.612932,0.097802,0.442399,0.344598,GUE
zeta_42_0361,zeta,mid,0.612932,0.097802,0.442399,0.344598,GUE
poisson_90000_0049,poisson,raw,0.35043,0.419221,0.074686,-0.344535,POISSON
zeta_42_0014,zeta,soft,0.603138,0.119347,0.463693,0.344347,GUE
zeta_42_0014,zeta,mid,0.603138,0.119347,0.463693,0.344347,GUE
zeta_42_0304,zeta,raw,0.607205,0.053078,0.397362,0.344284,GUE
zeta_42_0196,zeta,soft,0.615311,0.104962,0.449183,0.344221,GUE
zeta_42_0196,zeta,mid,0.615311,0.104962,0.449183,0.344221,GUE
zeta_42_0106,zeta,strong,0.612042,0.160364,0.504523,0.344158,GUE
zeta_42_0134,zeta,raw,0.61022,0.05446,0.398555,0.344095,GUE
zeta_42_0427,zeta,strong,0.611995,0.141897,0.485867,0.34397,GUE
zeta_42_0466,zeta,raw,0.628555,0.075251,0.419221,0.34397,GUE
zeta_42_0172,zeta,raw,0.604363,0.046168,0.38995,0.343781,GUE
zeta_42_0109,zeta,raw,0.612594,0.063945,0.407663,0.343719,GUE
zeta_42_0419,zeta,soft,0.596787,0.065955,0.409673,0.343719,GUE
zeta_42_0419,zeta,mid,0.596787,0.065955,0.409673,0.343719,GUE
gue_80000_0021,gue,raw,0.60579,0.046294,0.390013,0.343719,GUE
zeta_42_0008,zeta,raw,0.60637,0.066646,0.410302,0.343656,GUE
zeta_42_0008,zeta,soft,0.600219,0.116897,0.460553,0.343656,GUE
zeta_42_0008,zeta,mid,0.600219,0.116897,0.460553,0.343656,GUE
zeta_42_0106,zeta,raw,0.615182,0.065138,0.408794,0.343656,GUE
zeta_42_0222,zeta,soft,0.60427,0.100377,0.444033,0.343656,GUE
zeta_42_0222,zeta,mid,0.60427,0.100377,0.444033,0.343656,GUE
zeta_42_0265,zeta,strong,0.611484,0.136746,0.480402,0.343656,GUE
zeta_42_0275,zeta,raw,0.609111,0.036181,0.379837,0.343656,GUE
zeta_42_0292,zeta,strong,0.598472,0.146294,0.48995,0.343656,GUE
