type,block_id,seed,intensity,r_mean,r_std,r_entropy,ks_gue,ks_poi,ks_margin,vote,reducer_ks,reducer_mode
zeta,zeta_42_0000,42000,raw,0.624242,0.222625,3.668663,0.074238,0.398617,0.324379,GUE,0.0,none
zeta,zeta_42_0000,42000,soft,0.616922,0.18048,3.397467,0.130351,0.464138,0.333787,GUE,0.104396,minimal
zeta,zeta_42_0000,42000,mid,0.616922,0.18048,3.397467,0.130351,0.464138,0.333787,GUE,0.104396,minimal
zeta,zeta_42_0000,42000,strong,0.626039,0.150931,3.255243,0.195079,0.512901,0.317822,GUE,0.148352,minimal
zeta,zeta_42_0001,42001,raw,0.595567,0.228207,3.660634,0.034359,0.366332,0.331972,GUE,0.0,none
zeta,zeta_42_0001,42001,soft,0.580418,0.189642,3.413924,0.124058,0.412437,0.288379,GUE,0.105528,minimal
zeta,zeta_42_0001,42001,mid,0.580418,0.189642,3.413924,0.124058,0.412437,0.288379,GUE,0.105528,minimal
zeta,zeta_42_0001,42001,strong,0.584602,0.165058,3.373438,0.157977,0.443656,0.285678,GUE,0.175879,minimal
zeta,zeta_42_0002,42002,raw,0.587178,0.239921,3.697287,0.047802,0.332286,0.284485,GUE,0.0,none
zeta,zeta_42_0002,42002,soft,0.572072,0.189893,3.47217,0.136307,0.383543,0.247236,GUE,0.130653,minimal
zeta,zeta_42_0002,42002,mid,0.572072,0.189893,3.47217,0.136307,0.383543,0.247236,GUE,0.130653,minimal
zeta,zeta_42_0002,42002,strong,0.576028,0.149704,3.302442,0.198492,0.454209,0.255716,GUE,0.175879,minimal
zeta,zeta_42_0003,42003,raw,0.609417,0.234348,3.670796,0.088003,0.356847,0.268844,GUE,0.0,none
zeta,zeta_42_0003,42003,soft,0.587448,0.198284,3.434459,0.156344,0.38505,0.228706,GUE,0.150754,minimal
zeta,zeta_42_0003,42003,mid,0.587448,0.198284,3.434459,0.156344,0.38505,0.228706,GUE,0.150754,minimal
zeta,zeta_42_0003,42003,strong,0.602263,0.161753,3.255466,0.173932,0.449937,0.276005,GUE,0.190955,minimal
zeta,zeta_42_0004,42004,raw,0.607426,0.221897,3.637404,0.056595,0.392902,0.336307,GUE,0.0,none
zeta,zeta_42_0004,42004,soft,0.600548,0.180398,3.402859,0.127764,0.458229,0.330465,GUE,0.100503,minimal
zeta,zeta_42_0004,42004,mid,0.600548,0.180398,3.402859,0.127764,0.458229,0.330465,GUE,0.100503,minimal
zeta,zeta_42_0004,42004,strong,0.605604,0.151117,3.342268,0.157098,0.46941,0.312312,GUE,0.145729,minimal
zeta,zeta_42_0005,42005,raw,0.608892,0.232644,3.670583,0.05201,0.354837,0.302827,GUE,0.0,none
zeta,zeta_42_0005,42005,soft,0.596749,0.200826,3.416394,0.09152,0.411181,0.319661,GUE,0.100503,minimal
zeta,zeta_42_0005,42005,mid,0.596749,0.200826,3.416394,0.09152,0.411181,0.319661,GUE,0.100503,minimal
zeta,zeta_42_0005,42005,strong,0.603332,0.164303,3.333951,0.152073,0.441709,0.289636,GUE,0.18593,minimal
