block_id,type,intensity,r_mean,ks_gue,ks_poi,ks_margin,vote
poisson_90000_0025,poisson,raw,0.381265,0.403141,0.058103,-0.345038,POISSON
poisson_90000_0029,poisson,raw,0.343307,0.447802,0.103015,-0.344786,POISSON
poisson_90000_0029,poisson,soft,0.294546,0.538254,0.193467,-0.344786,POISSON
poisson_90000_0029,poisson,mid,0.294546,0.538254,0.193467,-0.344786,POISSON
poisson_90000_0049,poisson,raw,0.35043,0.419221,0.074686,-0.344535,POISSON
gue_80000_0021,gue,raw,0.60579,0.046294,0.390013,0.343719,GUE
poisson_90000_0009,poisson,raw,0.366704,0.409045,0.065389,-0.343656,POISSON
zeta_42_0022,zeta,strong,0.61205,0.113317,0.45647,0.343153,GUE
poisson_90000_0010,poisson,soft,0.33863,0.458668,0.115578,-0.34309,POISSON
poisson_90000_0010,poisson,mid,0.33863,0.458668,0.115578,-0.34309,POISSON
poisson_90000_0018,poisson,raw,0.34461,0.445226,0.102136,-0.34309,POISSON
poisson_90000_0018,poisson,soft,0.308673,0.529523,0.186997,-0.342525,POISSON
poisson_90000_0018,poisson,mid,0.308673,0.529523,0.186997,-0.342525,POISSON
zeta_42_0048,zeta,strong,0.592012,0.10603,0.448241,0.342211,GUE
gue_80000_0037,gue,strong,0.585275,0.156784,0.498869,0.342085,GUE
zeta_42_0008,zeta,strong,0.593298,0.115515,0.456407,0.340892,GUE
zeta_42_0041,zeta,raw,0.612591,0.080779,0.421608,0.340829,GUE
gue_80000_0034,gue,strong,0.586208,0.12902,0.469472,0.340452,GUE
zeta_42_0041,zeta,soft,0.606761,0.165766,0.50603,0.340264,GUE
zeta_42_0041,zeta,mid,0.606761,0.165766,0.50603,0.340264,GUE
