dimension,seed,algorithm,wall_time,norm_found,gh_target,ratio_gh,delta_0,is_success
40,1000,LLL,25.4032,1000.0,2885.2673,0.346588,0.984272,True
40,1000,BlackBox,68.1516,1100.0,2885.2673,0.381247,0.98662,True
40,1017,LLL,26.8448,1000.0,2885.2673,0.346588,0.984272,True
40,1017,BlackBox,61.4189,15754.1264,2885.2673,5.460197,1.054508,False
50,1000,LLL,104.163,1000.0,3590.7244,0.278495,0.985284,True
50,1000,BlackBox,156.0384,6569.2465,3590.7244,1.829504,1.023085,False
50,1017,LLL,117.3076,1000.0,3590.7244,0.278495,0.985284,True
50,1017,BlackBox,133.3418,17676.8917,3590.7244,4.922932,1.043541,False
60,1000,LLL,254.1946,1000.0,4327.6371,0.231073,0.98615,True
60,1000,BlackBox,302.1122,29860.7183,4327.6371,6.900005,1.043586,False
60,1017,LLL,242.4875,1000.0,4327.6371,0.231073,0.98615,True
60,1017,BlackBox,260.635,52135.8322,4327.6371,12.047182,1.053324,False
