dimension,seed,algorithm,wall_time,norm_found,gh_target,ratio_gh,delta_0,is_success
20,1000,LLL,1.634,1000.0,1564.8487,0.639039,0.981726,True
20,1000,BlackBox,12.3802,1000.0,1564.8487,0.639039,0.981726,True
20,1017,LLL,0.8361,1000.0,1564.8487,0.639039,0.981726,True
20,1017,BlackBox,10.0716,1000.0,1564.8487,0.639039,0.981726,True
20,1034,LLL,1.4605,1000.0,1564.8487,0.639039,0.981726,True
20,1034,BlackBox,13.6532,1000.0,1564.8487,0.639039,0.981726,True
25,1000,LLL,4.0101,1000.0,1884.877,0.530539,0.982422,True
25,1000,BlackBox,42.0722,1000.0,1884.877,0.530539,0.982422,True
25,1017,LLL,5.8341,1000.0,1884.877,0.530539,0.982422,True
25,1017,BlackBox,34.1515,5848070514.9553,1884.877,3102627.075037,1.832224,False
25,1034,LLL,3.0938,1000.0,1884.877,0.530539,0.982422,True
25,1034,BlackBox,41.0375,1000.0,1884.877,0.530539,0.982422,True
30,1000,LLL,10.9946,1000.0,2211.0257,0.452279,0.983085,True
30,1000,BlackBox,67.1352,1000.0,2211.0257,0.452279,0.983085,True
30,1017,LLL,11.1565,1000.0,2211.0257,0.452279,0.983085,True
30,1017,BlackBox,85.0532,5625.6111,2211.0257,2.544344,1.04135,False
30,1034,LLL,5.5674,1000.0,2211.0257,0.452279,0.983085,True
30,1034,BlackBox,63.4986,1000.0,2211.0257,0.452279,0.983085,True
35,1000,LLL,20.7863,1000.0,2544.3288,0.393031,0.983702,True
35,1000,BlackBox,148.8898,5385.1648,2544.3288,2.116537,1.032179,False
35,1017,LLL,17.0122,1000.0,2544.3288,0.393031,0.983702,True
35,1017,BlackBox,146.2962,5830.0943,2544.3288,2.291408,1.034523,False
35,1034,LLL,20.4098,1000.0,2544.3288,0.393031,0.983702,True
35,1034,BlackBox,122.658,5795.9037,2544.3288,2.27797,1.034349,False
40,1000,LLL,24.5563,1000.0,2885.2673,0.346588,0.984272,True
40,1000,BlackBox,238.27,1100.0,2885.2673,0.381247,0.98662,True
40,1017,LLL,34.8851,1000.0,2885.2673,0.346588,0.984272,True
40,1017,BlackBox,228.4444,5342.5181,2885.2673,1.851655,1.026382,False
40,1034,LLL,39.1113,1000.0,2885.2673,0.346588,0.984272,True
40,1034,BlackBox,214.9686,18416.7044,2885.2673,6.383015,1.058633,False
